time	Vsalida
0.000000000000000e+000	2.987243e+000
1.000000000341006e-010	2.987246e+000
3.000000001023018e-010	2.987253e+000
5.999999999877631e-010	2.987263e+000
9.999999999073250e-010	2.987277e+000
1.039999999964333e-009	2.987278e+000
1.607999999884806e-008	2.987791e+000
3.107999999875898e-008	2.988298e+000
4.607999999866989e-008	2.988801e+000
6.107999999858081e-008	2.989300e+000
7.607999999849173e-008	2.989794e+000
9.107999999840265e-008	2.990285e+000
1.060799999983136e-007	2.990772e+000
1.210799999982245e-007	2.991255e+000
1.360799999981354e-007	2.991733e+000
1.510799999980463e-007	2.992208e+000
1.660799999979572e-007	2.992679e+000
1.810799999978682e-007	2.993145e+000
1.960799999977791e-007	2.993608e+000
2.110799999976900e-007	2.994066e+000
2.260799999976009e-007	2.994521e+000
2.410799999975118e-007	2.994971e+000
2.560799999974227e-007	2.995418e+000
2.710799999973337e-007	2.995860e+000
2.860799999972446e-007	2.996299e+000
3.010799999971555e-007	2.996733e+000
3.160799999970664e-007	2.997164e+000
3.310799999969773e-007	2.997590e+000
3.460799999968883e-007	2.998013e+000
3.660799999967695e-007	2.998569e+000
3.810799999966804e-007	2.998983e+000
3.910799999966210e-007	2.999256e+000
4.110799999965022e-007	2.999797e+000
4.360799999963538e-007	3.000463e+000
4.610799999962053e-007	3.001119e+000
4.910799999960271e-007	3.001891e+000
5.260799999958193e-007	3.002771e+000
5.660799999955817e-007	3.003751e+000
6.160799999952848e-007	3.004936e+000
6.810799999948988e-007	3.006412e+000
7.209999999999682e-007	3.007281e+000
7.220000000000924e-007	3.007303e+000
8.210779998969308e-007	3.009338e+000
9.310779998962775e-007	3.011398e+000
1.051077999895565e-006	3.013407e+000
1.181077999894793e-006	3.015304e+000
1.321077999893961e-006	3.017023e+000
1.466077999893100e-006	3.018452e+000
1.616077999892209e-006	3.019557e+000
1.761077999891348e-006	3.020268e+000
1.886077999890606e-006	3.020599e+000
1.981077999890042e-006	3.020679e+000
2.011077999889864e-006	3.020673e+000
2.106077999889299e-006	3.020558e+000
2.186077999888824e-006	3.020347e+000
2.256077999888409e-006	3.020077e+000
2.316077999888052e-006	3.019783e+000
2.371077999887726e-006	3.019463e+000
2.416077999887458e-006	3.019165e+000
2.456077999887221e-006	3.018872e+000
2.491077999887013e-006	3.018596e+000
2.496077999886983e-006	3.018555e+000
2.501077999886954e-006	3.018513e+000
2.506077999886924e-006	3.018471e+000
2.511077999886894e-006	3.018429e+000
2.516077999886865e-006	3.018386e+000
2.521077999886835e-006	3.018343e+000
2.526077999886805e-006	3.018300e+000
2.531077999886775e-006	3.018256e+000
2.533404345699377e-006	3.018235e+000
2.534752499363602e-006	3.018224e+000
2.536061549152958e-006	3.018212e+000
2.537151947743389e-006	3.018202e+000
2.538312247543206e-006	3.018192e+000
2.540632847142623e-006	3.018171e+000
2.545274046341674e-006	3.018129e+000
2.550274046341644e-006	3.018084e+000
2.553761422068599e-006	3.018052e+000
2.556191140838096e-006	3.018030e+000
2.561647705295097e-006	3.017979e+000
2.564748823979642e-006	3.017950e+000
2.569748823979612e-006	3.017903e+000
2.574748823979582e-006	3.017856e+000
2.579748823979553e-006	3.017808e+000
2.584748823979523e-006	3.017760e+000
2.589748823979493e-006	3.017712e+000
2.594748823979464e-006	3.017663e+000
