time	V(d)	V(g)	V(gg)	Id(M1)
0.000000000000000e+000	1.307745e+001	-4.066723e-005	0.000000e+000	-5.603044e-007
1.271701927790803e-012	1.307745e+001	4.061676e-004	1.526042e-002	-2.034998e-005
3.815105674952191e-012	1.307745e+001	1.301485e-003	4.578127e-002	-7.257260e-005
8.153275905982416e-012	1.307745e+001	2.833292e-003	9.783931e-002	-1.958052e-004
1.255910696620899e-011	1.307746e+001	4.395993e-003	1.507093e-001	-3.645011e-004
2.092983718195857e-011	1.307747e+001	7.380547e-003	2.511581e-001	-7.641171e-004
2.880914712517779e-011	1.307749e+001	1.020912e-002	3.457098e-001	-1.203709e-003
4.450873079386158e-011	1.307753e+001	1.589909e-002	5.341048e-001	-2.182328e-003
6.716911011769855e-011	1.307759e+001	2.423632e-002	8.060293e-001	-3.677582e-003
1.124898687653725e-010	1.307770e+001	4.137576e-002	1.349878e+000	-6.742945e-003
2.031313860607203e-010	1.307794e+001	7.745527e-002	2.437577e+000	-1.289480e-002
3.844144207598363e-010	1.307841e+001	1.556372e-001	4.612973e+000	-2.516824e-002
6.374339307259336e-010	1.307907e+001	2.777846e-001	7.649207e+000	-4.222484e-002
1.000000000015745e-009	1.307998e+001	4.644131e-001	1.200000e+001	-6.573737e-002
1.036256606998937e-009	1.308003e+001	4.779625e-001	1.200000e+001	-6.701735e-002
1.108769820856899e-009	1.308004e+001	4.947717e-001	1.200000e+001	-6.729914e-002
3.385209718244230e-009	1.307996e+001	1.006827e+000	1.200000e+001	-6.441261e-002
5.661649615631561e-009	1.307988e+001	1.497593e+000	1.200000e+001	-6.164095e-002
7.938089513018892e-009	1.307980e+001	1.967068e+000	1.200000e+001	-5.898414e-002
1.021452941040622e-008	1.307973e+001	2.415253e+000	1.200000e+001	-5.644219e-002
1.249096930779355e-008	1.307966e+001	2.842149e+000	1.200000e+001	-5.401509e-002
1.476740920518088e-008	1.307958e+001	3.247754e+000	1.200000e+001	-5.170285e-002
1.704384910256821e-008	1.307952e+001	3.632070e+000	1.200000e+001	-4.950546e-002
1.854384910242920e-008	1.307947e+001	3.877062e+000	1.200000e+001	-4.807833e-002
1.904384910238286e-008	1.307945e+001	3.957031e+000	1.200000e+001	-4.750247e-002
1.954384910233652e-008	1.307942e+001	4.036151e+000	1.200000e+001	-4.652184e-002
2.004384910229019e-008	1.307932e+001	4.114380e+000	1.200000e+001	-4.403193e-002
2.054384910224385e-008	1.307906e+001	4.191590e+000	1.200000e+001	-3.706179e-002
2.104384910219751e-008	1.307840e+001	4.267529e+000	1.200000e+001	-1.994064e-002
2.154384910215117e-008	1.307707e+001	4.341875e+000	1.200000e+001	1.462363e-002
2.204384910210484e-008	1.307483e+001	4.414365e+000	1.200000e+001	7.260480e-002
2.254384910205850e-008	1.307159e+001	4.484899e+000	1.200000e+001	1.565730e-001
2.304384910201216e-008	1.306736e+001	4.553514e+000	1.200000e+001	2.660768e-001
2.354384910196582e-008	1.306221e+001	4.620314e+000	1.200000e+001	3.991864e-001
2.404384910191949e-008	1.305621e+001	4.685418e+000	1.200000e+001	5.536384e-001
2.454384910187315e-008	1.304947e+001	4.748940e+000	1.200000e+001	7.273149e-001
2.504384910182681e-008	1.304203e+001	4.810976e+000	1.200000e+001	9.183592e-001
2.554384910178047e-008	1.303396e+001	4.871614e+000	1.200000e+001	1.125161e+000
2.604384910173414e-008	1.302532e+001	4.930931e+000	1.200000e+001	1.346317e+000
2.654384910168780e-008	1.301615e+001	4.988994e+000	1.200000e+001	1.580586e+000
2.704384910164146e-008	1.300649e+001	5.045866e+000	1.200000e+001	1.826865e+000
2.804384910154879e-008	1.298584e+001	5.156253e+000	1.200000e+001	2.351573e+000
2.904384910145611e-008	1.296364e+001	5.262486e+000	1.200000e+001	2.913553e+000
3.004384910136344e-008	1.294008e+001	5.364899e+000	1.200000e+001	3.507056e+000
