time	Isecundario	Iprimario
2.772065772262264e-006	1.725595e-003	-2.404227e-003
2.777065772262234e-006	6.652946e-004	-2.885693e-003
2.782065772262204e-006	-6.184043e-005	-3.444494e-003
2.787065772262174e-006	-5.211707e-004	-4.058868e-003
2.792065772262145e-006	-7.986728e-004	-4.701619e-003
2.797065772262115e-006	-9.712988e-004	-5.348708e-003
2.802065772262085e-006	-1.090626e-003	-5.983848e-003
2.807065772262056e-006	-1.183732e-003	-6.598098e-003
2.812065772262026e-006	-1.262159e-003	-7.187185e-003
2.817065772261996e-006	-1.330117e-003	-7.749084e-003
2.822065772261967e-006	-1.389093e-003	-8.282672e-003
2.827065772261937e-006	-1.439757e-003	-8.787170e-003
2.832065772261907e-006	-1.482578e-003	-9.261977e-003
2.837065772261877e-006	-1.517977e-003	-9.706620e-003
2.842065772261848e-006	-1.546355e-003	-1.012075e-002
2.847065772261818e-006	-1.568092e-003	-1.050416e-002
2.852065772261788e-006	-1.583535e-003	-1.085677e-002
2.857065772261759e-006	-1.592996e-003	-1.117866e-002
2.862065772261729e-006	-1.596744e-003	-1.147010e-002
2.867065772261699e-006	-1.594994e-003	-1.173149e-002
2.872065772261670e-006	-1.587907e-003	-1.196350e-002
2.877065772261640e-006	-1.575571e-003	-1.216700e-002
2.882065772261610e-006	-1.557996e-003	-1.234314e-002
2.887065772261581e-006	-1.535092e-003	-1.249342e-002
2.892065772261551e-006	-1.506655e-003	-1.261971e-002
2.897065772261521e-006	-1.472337e-003	-1.272437e-002
2.902065772261491e-006	-1.431615e-003	-1.281033e-002
2.907065772261462e-006	-1.383752e-003	-1.288124e-002
2.912065772261432e-006	-1.327747e-003	-1.294161e-002
2.917065772261402e-006	-1.262275e-003	-1.299704e-002
2.922065772261373e-006	-1.185617e-003	-1.305443e-002
2.927065772261343e-006	-1.095577e-003	-1.312227e-002
2.932065772261313e-006	-9.893907e-004	-1.321095e-002
2.937065772261284e-006	-8.636261e-004	-1.333314e-002
2.942065772261254e-006	-7.140929e-004	-1.350409e-002
2.947065772261224e-006	-5.357696e-004	-1.374197e-002
2.952065772261195e-006	-3.227839e-004	-1.406800e-002
2.957065772261165e-006	-6.849342e-005	-1.450641e-002
2.962065772261135e-006	2.342563e-004	-1.508377e-002
2.967065772261105e-006	5.925813e-004	-1.582773e-002
2.972065772261076e-006	1.012558e-003	-1.676445e-002
2.977065772261046e-006	1.497571e-003	-1.791453e-002
2.982065772261016e-006	2.045793e-003	-1.928692e-002
2.987065772260987e-006	2.646672e-003	-2.087105e-002
2.992065772260957e-006	3.276508e-003	-2.262770e-002
2.997065772260927e-006	3.893568e-003	-2.448100e-002
3.002065772260898e-006	4.434512e-003	-2.631559e-002
3.007065772260868e-006	4.813565e-003	-2.798301e-002
3.012065772260838e-006	2.623513e-003	-2.636900e-002
3.013815844603307e-006	-3.170625e-003	-1.910843e-002
3.015189189633670e-006	-1.000956e-002	-9.528783e-003
3.016650319138167e-006	-1.281443e-002	-4.078529e-003
3.017832360794129e-006	-1.227713e-002	-3.354434e-003
3.019185792119909e-006	-1.225083e-002	-2.336819e-003
3.021892654771251e-006	-1.297622e-002	5.052983e-004
3.024702500725035e-006	-1.324359e-002	3.403286e-003
3.029702500725005e-006	-1.340260e-002	8.436399e-003
3.034702500724976e-006	-1.173201e-002	1.033745e-002
3.038964341683242e-006	-8.514934e-003	7.740007e-003
3.043575520189331e-006	-6.047729e-003	5.537771e-003
3.046608831420647e-006	-6.078584e-003	7.312715e-003
3.049512650528125e-006	-6.247926e-003	9.662215e-003
3.051822989793293e-006	-4.724917e-003	8.751607e-003
3.052630115142055e-006	-2.653047e-003	5.266084e-003
3.053000940425295e-006	-1.467036e-003	2.749925e-003
3.053255122000172e-006	-8.888748e-004	1.538999e-003
3.053573151695199e-006	-4.454126e-004	7.460214e-004
3.054064132657899e-006	-2.593876e-004	1.352009e-004
3.054620959795900e-006	-3.003413e-004	-1.229599e-004
3.055183596943926e-006	-3.222993e-004	-1.733676e-004
3.055919393549211e-006	-2.144027e-004	-1.452579e-004
3.056744105045788e-006	-1.128990e-004	-2.958143e-005
3.057909895805505e-006	-8.682486e-005	2.361201e-004
3.059002699592420e-006	-8.117309e-005	5.235989e-004
3.060482138159083e-006	-5.065759e-005	9.299816e-004
3.062033449316090e-006	-3.907378e-005	1.376438e-003
3.063941126991206e-006	-3.453003e-005	1.939135e-003
3.066067144818921e-006	-2.602674e-005	2.571406e-003
3.068495748333828e-006	-2.298007e-005	3.300232e-003
3.071327562372732e-006	-1.991581e-005	4.152996e-003
3.074383441288098e-006	-1.745578e-005	5.075181e-003
3.077927213755195e-006	-1.642473e-005	6.146158e-003
3.081644520300459e-006	-1.499088e-005	7.269902e-003
3.085687176757014e-006	-1.460613e-005	8.492516e-003
3.089843727671453e-006	-1.397839e-005	9.749459e-003
3.093906744768482e-006	-1.398103e-005	1.097819e-002
3.098207914167209e-006	-1.391742e-005	1.227874e-002
3.102346003808990e-006	-1.416883e-005	1.352988e-002
3.106805431504810e-006	-1.451461e-005	1.487793e-002
3.111120202126984e-006	-1.492192e-005	1.618197e-002
3.116120202126954e-006	-1.553343e-005	1.769275e-002
3.121054348546957e-006	-1.609006e-005	1.918320e-002
3.126054348546927e-006	-1.675185e-005	2.069310e-002
3.131054348546897e-006	-1.732268e-005	2.220249e-002
3.136054348546868e-006	-1.795651e-005	2.371144e-002
3.141054348546838e-006	-1.850346e-005	2.521991e-002
3.146054348546808e-006	-1.907692e-005	2.672794e-002
3.151054348546779e-006	-1.959381e-005	2.823553e-002
3.156054348546749e-006	-2.010272e-005	2.974270e-002
3.161054348546719e-006	-2.058770e-005	3.124948e-002
3.166054348546690e-006	-2.103904e-005	3.275586e-002
3.171054348546660e-006	-2.148950e-005	3.426189e-002
3.176054348546630e-006	-2.189348e-005	3.576756e-002
3.181054348546600e-006	-2.230674e-005	3.727290e-002
3.191054348546541e-006	-2.304766e-005	4.028261e-002
3.216054348546393e-006	-2.461587e-005	4.780190e-002
3.246054348546214e-006	-2.607137e-005	5.681717e-002
3.286054348545977e-006	-2.746262e-005	6.882712e-002
3.336054348545680e-006	-2.860081e-005	8.382711e-002
3.401054348545294e-006	-2.946207e-005	1.033124e-001
3.501054348544700e-006	-3.007733e-005	1.332675e-001
3.701054348543512e-006	-3.040581e-005	1.931228e-001
4.826054348536831e-006	-3.046637e-005	5.287683e-001
4.998999999998805e-006	-3.046693e-005	5.802145e-001
5.000000000000013e-006	-2.913517e-005	5.805113e-001
5.000100000000047e-006	-3.001167e-005	5.805414e-001
5.000299999999899e-006	-3.046680e-005	5.806011e-001
5.000999999999704e-006	-3.049745e-005	5.808092e-001
5.616079999995081e-006	-3.046897e-005	7.634478e-001
5.621079999995051e-006	-3.046899e-005	7.649304e-001
5.626079999995022e-006	-3.046900e-005	7.664129e-001
5.631079999994992e-006	-3.046902e-005	7.678955e-001
5.636079999994962e-006	-3.046903e-005	7.693779e-001
5.641079999994933e-006	-3.046905e-005	7.708604e-001
5.646079999994903e-006	-3.046907e-005	7.723428e-001
5.651079999994873e-006	-3.046908e-005	7.738252e-001
5.653406345807474e-006	-3.046909e-005	7.745149e-001
5.654754499471700e-006	-3.046910e-005	7.749145e-001
5.656063549261056e-006	-3.046910e-005	7.753026e-001
5.657153947851486e-006	-3.046911e-005	7.756259e-001
5.658314247651303e-006	-3.046910e-005	7.759699e-001
5.660634847250720e-006	-3.046912e-005	7.766578e-001
5.665276046449772e-006	-3.046914e-005	7.780337e-001
5.670276046449742e-006	-3.046917e-005	7.795160e-001
5.673763422176696e-006	-3.046920e-005	7.805498e-001
5.675453861068427e-006	-3.046920e-005	7.810509e-001
5.681649705403195e-006	-3.046921e-005	7.828876e-001
5.684750824087740e-006	-3.046921e-005	7.838069e-001
5.689750824087710e-006	-3.046921e-005	7.852889e-001
5.694750824087680e-006	-3.046921e-005	7.867711e-001
5.699750824087651e-006	-3.046920e-005	7.882531e-001
5.704750824087621e-006	-3.046922e-005	7.897351e-001
5.709750824087591e-006	-3.046923e-005	7.912171e-001
5.714750824087561e-006	-3.046922e-005	7.926990e-001
5.715999999999794e-006	-3.046921e-005	7.930692e-001
5.718498351824260e-006	-3.046931e-005	7.938097e-001
5.720999999999765e-006	-3.047013e-005	7.945511e-001
5.721999999999889e-006	-3.046916e-005	7.948475e-001
5.724519999999360e-006	-3.046921e-005	7.955944e-001
5.727079999998889e-006	-3.046919e-005	7.963531e-001
5.732079999998859e-006	-3.046908e-005	7.978349e-001
5.737079999998829e-006	-3.046899e-005	7.993168e-001
5.742079999998800e-006	-3.046887e-005	8.007985e-001
5.747079999998770e-006	-3.046869e-005	8.022802e-001
5.752079999998740e-006	-3.046845e-005	8.037619e-001
5.757079999998711e-006	-3.046811e-005	8.052436e-001
5.762079999998681e-006	-3.046767e-005	8.067252e-001
5.767079999998651e-006	-3.046707e-005	8.082068e-001
5.772079999998622e-006	-3.046629e-005	8.096883e-001
5.777079999998592e-006	-3.046526e-005	8.111699e-001
5.782079999998562e-006	-3.046393e-005	8.126513e-001
5.787079999998532e-006	-3.046219e-005	8.141328e-001
5.792079999998503e-006	-3.045993e-005	8.156142e-001
5.797079999998473e-006	-3.045699e-005	8.170956e-001
5.802079999998443e-006	-3.045314e-005	8.185769e-001
5.807079999998414e-006	-3.044805e-005	8.200582e-001
5.812079999998384e-006	-3.044126e-005	8.215395e-001
5.817079999998354e-006	-3.043207e-005	8.230208e-001
5.822079999998325e-006	-3.041940e-005	8.245019e-001
5.827079999998295e-006	-3.040159e-005	8.259830e-001
5.832079999998265e-006	-3.037587e-005	8.274641e-001
5.837079999998236e-006	-3.033760e-005	8.289451e-001
5.842079999998206e-006	-3.027864e-005	8.304260e-001
5.847079999998176e-006	-3.018336e-005	8.319068e-001
5.852079999998146e-006	-2.999203e-005	8.333873e-001
5.857079999998117e-006	-2.966464e-005	8.348674e-001
5.862079999998087e-006	-2.914043e-005	8.363468e-001
5.867079999998057e-006	-2.823992e-005	8.378252e-001
5.872079999998028e-006	-2.696536e-005	8.393024e-001
5.877079999997998e-006	-2.513721e-005	8.407781e-001
5.879406345810599e-006	-2.359791e-005	8.414630e-001
5.881609777196950e-006	-2.137583e-005	8.421097e-001
5.883477632234041e-006	-1.885492e-005	8.426564e-001
5.885450737583287e-006	-1.501433e-005	8.432308e-001
5.889396948281778e-006	-1.661990e-006	8.443655e-001
5.894396948281748e-006	3.909690e-005	8.457464e-001
5.899396948281718e-006	1.592762e-004	8.469512e-001
5.902197706997162e-006	3.648893e-004	8.473322e-001
5.904005907967627e-006	7.172741e-004	8.471274e-001
5.905325221294616e-006	1.329383e-003	8.462704e-001
5.906419537070199e-006	2.423952e-003	8.443798e-001
5.907625635973024e-006	3.920098e-003	8.414558e-001
5.908820571660315e-006	4.722180e-003	8.395959e-001
5.910243912337623e-006	4.958550e-003	8.388997e-001
5.911574426684541e-006	5.207432e-003	8.383995e-001
5.914235455378595e-006	5.959309e-003	8.368739e-001
5.919235455378565e-006	9.935196e-003	8.289828e-001
5.922057242573964e-006	1.640900e-002	8.164056e-001
5.924461410004205e-006	2.373824e-002	8.020735e-001
5.927188752928624e-006	3.081975e-002	7.894062e-001
5.929380963015695e-006	3.720140e-002	7.809842e-001
5.931487921490355e-006	4.605574e-002	7.724718e-001
5.932512020296330e-006	5.412393e-002	7.672307e-001
5.933053580110250e-006	7.034163e-002	7.605739e-001
5.933306766776544e-006	9.520095e-002	7.518975e-001
5.933547351135186e-006	1.337384e-001	7.388999e-001
