time	V(sw)
0.000000000000000e+000	2.342720e+001
1.000000000341006e-010	2.342651e+001
3.000000001023018e-010	2.342508e+001
5.999999999877631e-010	2.342291e+001
9.999999999073250e-010	2.342002e+001
1.039999999964333e-009	2.341973e+001
1.119999999861510e-009	2.341915e+001
2.542857142578116e-009	2.340901e+001
3.965714285294723e-009	2.339898e+001
5.388571428011329e-009	2.338909e+001
6.811428570727935e-009	2.337931e+001
8.234285713444542e-009	2.336966e+001
9.657142856161147e-009	2.336014e+001
1.107999999887775e-008	2.335073e+001
1.607999999884806e-008	2.331834e+001
2.107999999881836e-008	2.328728e+001
2.607999999878867e-008	2.325750e+001
3.107999999875898e-008	2.322895e+001
3.607999999872928e-008	2.320156e+001
4.107999999869959e-008	2.317530e+001
4.607999999866989e-008	2.315012e+001
5.107999999864020e-008	2.312597e+001
5.607999999861051e-008	2.310280e+001
6.107999999858081e-008	2.308059e+001
6.607999999855112e-008	2.305929e+001
7.107999999852142e-008	2.303886e+001
7.607999999849173e-008	2.301927e+001
8.107999999846204e-008	2.300049e+001
8.607999999843234e-008	2.298247e+001
9.107999999840265e-008	2.296519e+001
9.607999999837295e-008	2.294861e+001
1.010799999983433e-007	2.293272e+001
1.060799999983136e-007	2.291747e+001
1.110799999982839e-007	2.290285e+001
1.160799999982542e-007	2.288882e+001
1.210799999982245e-007	2.287537e+001
1.260799999981948e-007	2.286246e+001
1.310799999981651e-007	2.285008e+001
1.360799999981354e-007	2.283820e+001
1.410799999981057e-007	2.282680e+001
1.460799999980760e-007	2.281586e+001
1.510799999980463e-007	2.280537e+001
1.560799999980166e-007	2.279530e+001
1.610799999979869e-007	2.278563e+001
1.660799999979572e-007	2.277635e+001
1.710799999979275e-007	2.276744e+001
1.760799999978979e-007	2.275889e+001
1.810799999978682e-007	2.275068e+001
1.860799999978385e-007	2.274279e+001
1.910799999978088e-007	2.273522e+001
1.960799999977791e-007	2.272794e+001
2.060799999977197e-007	2.271423e+001
2.160799999976603e-007	2.270156e+001
2.260799999976009e-007	2.268985e+001
2.360799999975415e-007	2.267901e+001
2.510799999974524e-007	2.266422e+001
2.660799999973634e-007	2.265100e+001
2.810799999972743e-007	2.263915e+001
2.960799999971852e-007	2.262849e+001
3.110799999970961e-007	2.261887e+001
3.260799999970070e-007	2.261015e+001
3.410799999969180e-007	2.260221e+001
3.560799999968289e-007	2.259495e+001
3.710799999967398e-007	2.258827e+001
3.860799999966507e-007	2.258210e+001
4.010799999965616e-007	2.257638e+001
4.160799999964725e-007	2.257103e+001
4.310799999963835e-007	2.256600e+001
4.460799999962944e-007	2.256126e+001
4.610799999962053e-007	2.255675e+001
4.760799999961162e-007	2.255245e+001
4.910799999960271e-007	2.254833e+001
5.060799999959380e-007	2.254435e+001
5.210799999958490e-007	2.254050e+001
5.360799999957599e-007	2.253675e+001
5.489371428528263e-007	2.253363e+001
5.617942857098929e-007	2.253055e+001
5.746514285669594e-007	2.252751e+001
5.875085714240259e-007	2.252450e+001
6.003657142810924e-007	2.252153e+001
6.132228571381589e-007	2.251860e+001
6.260799999952254e-007	2.251571e+001
6.410799999951363e-007	2.251234e+001
6.560799999950472e-007	2.250899e+001
6.710799999949581e-007	2.250565e+001
6.860799999948691e-007	2.250233e+001
7.010799999947800e-007	2.249901e+001
7.036514285661561e-007	2.249844e+001
7.062228571375322e-007	2.249787e+001
7.087942857089084e-007	2.249730e+001
7.113657142802845e-007	2.249673e+001
7.139371428516606e-007	2.249616e+001
7.165085714230367e-007	2.249560e+001
7.190799999944129e-007	2.249503e+001
7.200799999943202e-007	2.249481e+001
7.209999999999682e-007	2.249460e+001
7.210920000004679e-007	2.249458e+001
7.212760000016843e-007	2.249454e+001
7.216440000039001e-007	2.249446e+001
7.220000000000924e-007	2.249438e+001
7.220355999996032e-007	2.249438e+001
7.221067999988416e-007	2.249436e+001
7.341026856985814e-007	2.249171e+001
7.460985713983211e-007	2.248905e+001
7.580944570980609e-007	2.248640e+001
7.700903427978006e-007	2.248373e+001
7.820862284975404e-007	2.248107e+001
7.940821141972802e-007	2.247840e+001
8.060779998970199e-007	2.247572e+001
8.210779998969308e-007	2.247236e+001
8.360779998968417e-007	2.246900e+001
8.510779998967526e-007	2.246561e+001
8.660779998966636e-007	2.246222e+001
8.810779998965745e-007	2.245882e+001
8.960779998964854e-007	2.245539e+001
9.110779998963963e-007	2.245196e+001
9.260779998963072e-007	2.244851e+001
9.410779998962181e-007	2.244505e+001
9.560779998961291e-007	2.244157e+001
9.710779998960400e-007	2.243807e+001
9.860779998959509e-007	2.243456e+001
1.001077999895862e-006	2.243103e+001
1.016077999895773e-006	2.242749e+001
1.031077999895684e-006	2.242393e+001
1.046077999895595e-006	2.242035e+001
1.069649428466883e-006	2.241470e+001
1.093220857038172e-006	2.240900e+001
1.116792285609460e-006	2.240326e+001
1.140363714180749e-006	2.239748e+001
1.163935142752038e-006	2.239166e+001
1.187506571323326e-006	2.238579e+001
1.211077999894615e-006	2.237988e+001
1.257506571322910e-006	2.236812e+001
1.303935142751206e-006	2.235616e+001
1.350363714179502e-006	2.234402e+001
1.396792285607798e-006	2.233170e+001
1.443220857036093e-006	2.231918e+001
1.489649428464389e-006	2.230648e+001
1.536077999892685e-006	2.229359e+001
1.598220857035173e-006	2.227606e+001
1.660363714177661e-006	2.225808e+001
1.722506571320149e-006	2.223965e+001
1.784649428462637e-006	2.222077e+001
1.846792285605125e-006	2.220144e+001
1.908935142747613e-006	2.218165e+001
1.971077999890101e-006	2.216141e+001
1.999649428461360e-006	2.215190e+001
2.028220857032619e-006	2.214224e+001
2.056792285603878e-006	2.213244e+001
2.085363714175137e-006	2.212249e+001
2.113935142746396e-006	2.211240e+001
2.142506571317655e-006	2.210217e+001
2.171077999888913e-006	2.209180e+001
2.201077999888735e-006	2.208074e+001
2.231077999888557e-006	2.206945e+001
2.261077999888379e-006	2.205791e+001
2.291077999888201e-006	2.204613e+001
