time	V(gg)	I(L1)
8.312547523751934e-008	1.200000e+001	4.774343e+000
8.462547523738033e-008	1.200000e+001	4.774358e+000
8.612547523724132e-008	1.200000e+001	4.774375e+000
8.762547523710230e-008	1.200000e+001	4.774392e+000
8.912547523696329e-008	1.200000e+001	4.774410e+000
9.062547523682428e-008	1.200000e+001	4.774428e+000
9.212547523668527e-008	1.200000e+001	4.774448e+000
9.362547523654625e-008	1.200000e+001	4.774468e+000
9.641118952200237e-008	1.200000e+001	4.774508e+000
9.919690380745850e-008	1.200000e+001	4.774550e+000
1.019826180929146e-007	1.200000e+001	4.774595e+000
1.047683323783707e-007	1.200000e+001	4.774642e+000
1.075540466638269e-007	1.200000e+001	4.774692e+000
1.103397609492830e-007	1.200000e+001	4.774744e+000
1.131254752347391e-007	1.200000e+001	4.774798e+000
1.164826180915708e-007	1.200000e+001	4.774868e+000
1.198397609484026e-007	1.200000e+001	4.774941e+000
1.231969038052343e-007	1.200000e+001	4.775017e+000
1.265540466620660e-007	1.200000e+001	4.775097e+000
1.299111895188978e-007	1.200000e+001	4.775180e+000
1.332683323757295e-007	1.200000e+001	4.775267e+000
1.366254752325612e-007	1.200000e+001	4.775357e+000
1.371254752325149e-007	1.200000e+001	4.775371e+000
1.376254752324686e-007	1.200000e+001	4.775385e+000
1.395540466608613e-007	1.200000e+001	4.775439e+000
1.414826180892539e-007	1.200000e+001	4.775495e+000
1.434111895176467e-007	1.200000e+001	4.775551e+000
1.453397609460394e-007	1.200000e+001	4.775607e+000
1.472683323744321e-007	1.200000e+001	4.775665e+000
1.491969038028247e-007	1.200000e+001	4.775723e+000
1.511254752312174e-007	1.200000e+001	4.775783e+000
1.524111895168126e-007	1.200000e+001	4.775822e+000
1.536969038024077e-007	1.200000e+001	4.775862e+000
1.549826180880028e-007	1.200000e+001	4.775902e+000
1.562683323735980e-007	1.200000e+001	4.775942e+000
1.575540466591931e-007	1.200000e+001	4.775982e+000
1.588397609447882e-007	1.200000e+001	4.776022e+000
1.601254752303834e-007	1.200000e+001	4.776063e+000
1.615540466588224e-007	1.200000e+001	4.776108e+000
1.629826180872614e-007	1.200000e+001	4.776154e+000
1.644111895157005e-007	1.200000e+001	4.776199e+000
1.658397609441395e-007	1.200000e+001	4.776245e+000
1.672683323725786e-007	1.200000e+001	4.776291e+000
1.686969038010176e-007	1.200000e+001	4.776337e+000
1.701254752294566e-007	1.200000e+001	4.776383e+000
