#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0E036
#Date Time: 2021-06-24 22:01:03.585
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 2.2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: -855 mV Attenuation: 1 X
#Channel 2: Range: 1 V/div Offset: -3 V Attenuation: 1 X
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 800 mV
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
0.001854332843137255,0.7826969511387294,-0.02350037947966611
0.001854342843137255,0.7813796707696788,-0.01981113512313875
0.001854352843137255,0.7813796707696692,-0.03825735690579949
0.001854362843137255,0.7820383109541942,-0.03087886819274812
0.001854372843137255,0.7820383109541945,-0.05301433433188925
0.001854382843137255,0.7810503506774076,-0.04563584561879427
0.001854392843137255,0.7817089908619337,-0.03087886819273135
0.001854402843137255,0.7826969511387212,-0.02718962383620522
0.001854412843137255,0.7820383109542,-0.0456358456187842
0.001854422843137255,0.7817089908619254,-0.03825735690597397
0.001854432843137255,0.7810503506774039,-0.05670357868857308
0.001854442843137255,0.7830262712309789,-0.05301433433204696
0.001854452843137255,0.7810503506774219,-0.04563584561901236
0.001854462843137255,0.7823676310464518,-0.04563584561893519
0.001854472843137255,0.7810503506774018,-0.04563584561893519
0.001854482843137255,0.782696951138713,-0.0530143343319832
0.001854492843137255,0.7826969511387114,-0.05301433433206373
0.001854502843137255,0.7813796707696635,-0.05670357868854289
0.001854512843137255,0.7807210305851386,-0.04563584561896539
0.001854522843137255,0.7817089908619216,-0.04194660126241957
0.001854532843137255,0.7817089908619206,-0.049325089975429
0.001854542843137255,0.7803917104928741,-0.04194660126239273
0.001854552843137255,0.7817089908619241,-0.04563584561891841
0.001854562843137255,0.7823676310464482,-0.04932508997540216
0.001854572843137255,0.7813796707696606,-0.04194660126251688
0.001854582843137255,0.7803917104928733,-0.06777131175819712
0.001854592843137255,0.7800623904006102,-0.06039282304517594
0.001854602843137255,0.7813796707696656,-0.04563584561890163
0.001854612843137255,0.7813796707696646,-0.04194660126238769
0.001854622843137255,0.7810503506774021,-0.04194660126238769
0.001854632843137255,0.7826969511387092,-0.02718962383632433
0.001854642843137255,0.7813796707696701,-0.04194660126233737
0.001854652843137255,0.7820383109541933,-0.03456811254930233
0.001854662843137255,0.7807210305851434,-0.04563584561887982
0.001854672843137255,0.7807210305851369,-0.05301433433194965
0.001854682843137255,0.7817089908619236,-0.04932508997539041
0.001854692843137255,0.7803917104928736,-0.03087886819276155
0.001854702843137255,0.7820383109541833,-0.02350037947969967
0.001854712843137255,0.7823676310464448,-0.01612189076684123
0.001854722843137255,0.7807210305851386,-0.04932508997545249
0.001854732843137255,0.7813796707696635,-0.03825735690587499
0.001854742843137255,0.7817089908619271,-0.02718962383629749
0.001854752843137255,0.7817089908619346,-0.0419466012623122
0.001854762843137255,0.7823676310464587,-0.03087886819275483
0.001854772843137255,0.7820383109541963,-0.0419466012623273
0.001854782843137255,0.7817089908619164,-0.03825735690576258
0.001854792843137255,0.7803917104928828,-0.03087886819276155
0.001854802843137255,0.7826969511387203,-0.03456811254928723
0.001854812843137255,0.7823676310464615,-0.03456811254929226
0.001854822843137255,0.780721030585154,-0.02718962383632433
0.001854832843137255,0.7826969511387174,-0.04194660126234576
0.001854842843137255,0.7800623904006175,-0.02350037947971644
0.001854852843137255,0.7797330703083466,-0.0271896238361616
0.001854862843137255,0.7823676310464444,-0.0456358456189117
0.001854872843137255,0.7800623904006079,-0.04194660126239105
0.001854882843137255,0.7797330703083453,-0.04932508997544242
0.001854892843137255,0.7813796707696656,-0.01981113512313875
0.001854902843137255,0.7813796707696643,-0.02350037947960404
0.001854912843137255,0.7810503506774018,-0.01243264641002654
0.001854922843137255,0.781708990861925,-0.02350037947956377
0.001854932843137255,0.7810503506773931,0.002324331016123615
0.001854942843137255,0.7800623904006088,-0.005054157696919809
0.001854952843137255,0.7803917104928711,-0.008743402053445494
0.001854962843137255,0.7800623904006111,-0.005054157696946652
0.001854972843137255,0.7810503506773935,-0.01981113512292736
0.001854982843137255,0.7797330703083435,0.009702819729279
0.001854992843137255,0.7817089908619185,0.01339206408580513
0.001855002843137255,0.7817089908619236,-0.001364913340400392
0.001855012843137255,0.7810503506773958,-0.005054157696835926
0.001855022843137255,0.7797330703083459,0.01339206408579338
0.001855032843137255,0.7797330703083435,-0.0013649133402494
0.001855042843137255,0.7810503506773961,0.01339206408568434
0.001855052843137255,0.7803917104928724,-0.005054157696911421
0.001855062843137255,0.7803917104928724,-0.005054157696911421
0.001855072843137255,0.7813796707696558,-0.005054157696911421
0.001855082843137255,0.7790744301238322,0.002324331016096772
0.001855092843137255,0.7820383109541945,-0.01243264641000641
0.001855102843137255,0.783026271230982,0.006013575372622457
0.001855112843137255,0.7797330703083529,0.00232433101614878
0.001855122843137255,0.7807210305851369,-0.00136491334033664
0.001855132843137255,0.7807210305851369,0.006013575372714729
0.001855142843137255,0.781708990861922,0.002324331016214209
0.001855152843137255,0.7800623904006105,0.006013575372731506
0.001855162843137255,0.7803917104928718,0.006013575372704662
0.001855172843137255,0.7800623904006093,-0.008743402053398519
0.001855182843137255,0.7807210305851303,-0.0124326464099695
0.001855192843137255,0.778745110031561,-0.01243264640996614
0.001855202843137255,0.780721030585136,-0.005054157696914776
0.001855212843137255,0.7807210305851369,0.009702819729185051
