#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0E036
#Date Time: 2021-06-24 21:57:56.694
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: -2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: -855 mV Attenuation: 1 X
#Channel 2: Range: 1 V/div Offset: 1.2 V Attenuation: 1 X
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 800 mV
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
0.001854336290322581,0.7820383109541915,-0.1554444002901992
0.001854346290322581,0.7826969511387168,-0.1406874228640893
0.001854356290322581,0.7833555913232577,-0.1222412010812438
0.001854366290322581,0.7843435516000451,-0.1296196897942954
0.001854376290322581,0.7823676310464716,-0.111173468011678
0.001854386290322581,0.7833555913232397,-0.1111734680114197
0.001854396290322581,0.7820383109541945,-0.09641649058537016
0.001854406290322581,0.7820383109541945,-0.09641649058537016
0.001854416290322581,0.7823676310464563,-0.08534875751581783
0.001854426290322581,0.7833555913232427,-0.08534875751567356
0.001854436290322581,0.782038310954195,-0.07797026880260183
0.001854446290322581,0.7823676310464576,-0.05583480266344705
0.001854456290322581,0.782038310954198,-0.05952404701985552
0.001854466290322581,0.7830262712309861,-0.055834802663286
0.001854476290322581,0.7826969511387235,-0.0447670695937085
0.001854486290322581,0.7826969511387234,-0.0115638703849863
0.001854496290322581,0.7826969511387204,-0.01894235909773591
0.001854506290322581,0.7823676310464611,-0.00418538167158575
0.001854516290322581,0.7830262712309861,0.02532857318062061
0.001854526290322581,0.7817089908619416,0.01795008446766968
0.001854536290322581,0.7820383109541993,0.01795008446784752
0.001854546290322581,0.782696951138723,0.05115328367655462
0.001854556290322581,0.7823676310464605,0.0659102611026578
0.001854566290322581,0.783355591323238,0.05853177238966997
0.001854576290322581,0.7820383109541995,0.06222101674628814
0.001854586290322581,0.783026271230987,0.08435648288544291
0.001854596290322581,0.7830262712309879,0.0880457272419856
0.001854606290322581,0.7817089908619391,0.1064919490248158
0.001854616290322581,0.7826969511387224,0.1138704377378674
0.001854626290322581,0.7823676310464599,0.1212489264509192
0.001854636290322581,0.7830262712309822,0.1138704377379076
0.001854646290322581,0.7826969511387144,0.1249381708076378
0.001854656290322581,0.7813796707696662,0.147073636946759
0.001854666290322581,0.7820383109541912,0.1323166595206559
0.001854676290322581,0.7820383109541945,0.1507628813031189
0.001854686290322581,0.7817089908619268,0.1618306143728708
0.001854696290322581,0.7810503506774018,0.1433843925902417
0.001854706290322581,0.7817089908619257,0.1581413700163147
0.001854716290322581,0.782038310954186,0.1581413700166066
0.001854726290322581,0.7810503506774004,0.1802768361556809
0.001854736290322581,0.7807210305851379,0.1728983474426293
0.001854746290322581,0.7826969511387054,0.1692091030860919
0.001854756290322581,0.7817089908619324,0.1765875917991787
0.001854766290322581,0.7820383109541945,0.1802768361556976
0.001854776290322581,0.7820383109541945,0.1765875917991736
0.001854786290322581,0.7820383109541773,0.1876553248686807
0.001854796290322581,0.7803917104928798,0.1765875917991703
0.001854806290322581,0.7820383109541923,0.180276836155696
0.001854816290322581,0.7820383109541945,0.1950338135817843
0.001854826290322581,0.7810503506774013,0.1802768361557966
0.001854836290322581,0.7810503506774005,0.1913445692253691
0.001854846290322581,0.7807210305851381,0.2024123022949466
0.001854856290322581,0.7813796707696593,0.1950338135819621
0.001854866290322581,0.7823676310464548,0.1839660805122018
0.001854876290322581,0.7817089908619298,0.1765875917991502
0.001854886290322581,0.7810503506774048,0.1692091030860986
0.001854896290322581,0.7810503506774111,0.1655198587295844
0.001854906290322581,0.7820383109541905,0.1728983474425303
0.001854916290322581,0.781050350677403,0.1544521256599014
0.001854926290322581,0.7823676310464488,0.1692091030859442
0.001854936290322581,0.780721030585145,0.1728983474424548
0.001854946290322581,0.7817089908619287,0.1544521256598427
0.001854956290322581,0.7810503506774037,0.1433843925902652
0.001854966290322581,0.7817089908619238,0.1360059038772002
0.001854976290322581,0.782367631046459,0.1581413700164154
0.001854986290322581,0.782367631046459,0.1581413700164154
0.001854996290322581,0.7807210305851466,0.1360059038772606
0.001855006290322581,0.7810503506774145,0.1470736369467355
0.001855016290322581,0.7823676310464509,0.1433843925901646
0.001855026290322581,0.7803917104928759,0.1286274151640614
0.001855036290322581,0.781379670769658,0.1360059038770727
0.001855046290322581,0.7807210305851471,0.1249381708074583
0.001855056290322581,0.782038310954194,0.1212489264509192
0.001855066290322581,0.7817089908619315,0.1101811933813417
0.001855076290322581,0.7817089908619301,0.102802704668275
0.001855086290322581,0.7823676310464492,0.09542421595510597
0.001855096290322581,0.7807210305851369,0.09542421595510597
0.001855106290322581,0.7817089908619242,0.07697799417247689
0.001855116290322581,0.7807210305851432,0.0695995054591317
0.001855126290322581,0.7813796707696669,0.05484252803309562
0.001855136290322581,0.7817089908619294,0.05853177238962131
0.001855146290322581,0.7803917104928831,0.05115328367659489
0.001855156290322581,0.7807210305851369,0.06959950545901594
0.001855166290322581,0.7807210305851386,0.03639630625035749
0.001855176290322581,0.7817089908619261,0.04377479496340908
0.001855186290322581,0.7826969511387135,0.03270706189390708
0.001855196290322581,0.7813796707696621,0.03270706189365543
0.001855206290322581,0.7807210305851372,0.006882351397974749
0.001855216290322581,0.7817089908619238,0.01426084011101124
0.001855226290322581,0.7826969511387045,0.006882351397857311
0.001855236290322581,0.7807210305851369,-0.004185381671639436
0.001855246290322581,0.7807210305851369,0.006882351397937839
